target,relevance,outcome,metallibs,perf,tracker_id,note
//max/kernels/test/gpu/fuzz:fuzz_moe_indices.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/fuzz:fuzz_moe_router.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/fuzz:fuzz_msa_decode.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/fuzz:fuzz_msa_prefill.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/fuzz:fuzz_mxfp8_quantize.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/fuzz:fuzz_numeric_canary.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/fuzz:fuzz_oob_canary.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/fuzz:fuzz_rms_norm.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/fuzz:fuzz_softmax.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/fuzz:fuzz_sparse_indexer.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/fuzz:fuzz_sparse_indexer_decode.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/fuzz:fuzz_sparse_indexer_prefill.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/fuzz:fuzz_topk_sampling.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/fuzz:fuzz_topk_topp_masked_probs.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/fuzz:fuzz_topk_topp_sampling_dist.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/fuzz:repro_decode_hang.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/fuzz:test_fuzz_fills.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/kv_cache:test_batch_kv_cache_flash_attention.mojo.test,excluded,EXCLUDED,,,PRDT-506,FIXME: PRDT-506
//max/kernels/test/gpu/kv_cache:test_batch_kv_cache_flash_attention_causal_mask.mojo.test,excluded,EXCLUDED,,,PRDT-506,FIXME: PRDT-506
//max/kernels/test/gpu/kv_cache:test_batch_kv_cache_flash_attention_causal_mask_ragged.mojo.test,generic,PASS,855,,,
